triplet_id,participation,task,trial,stim1_name,stim2_name,stim3_name,choice,response_time,catch_trial_flag,token,survey_code
59,fluid-muskrat,set3,17,189,59,205,59,3.699,False,p1,9239.0
60,fluid-muskrat,set3,18,180,122,194,180,5.665,False,p1,9239.0
63,fluid-muskrat,set4,0,120,174,157,157,3.107,False,p1,9239.0
64,fluid-muskrat,set4,1,111,29,244,29,3.631,False,p1,9239.0
66,fluid-muskrat,set4,3,218,139,2,218,3.849,False,p1,9239.0
68,fluid-muskrat,set4,5,126,239,241,239,11.568,False,p1,9239.0
69,fluid-muskrat,set4,6,243,103,203,103,3.916,False,p1,9239.0
72,fluid-muskrat,set4,9,223,66,141,223,3.499,False,p1,9239.0
74,fluid-muskrat,set4,11,47,67,104,47,8.197,False,p1,9239.0
78,fluid-muskrat,set4,15,35,190,33,33,7.497,False,p1,9239.0
81,fluid-muskrat,set4,18,12,104,205,205,2.367,False,p1,9239.0
82,fluid-muskrat,set4,19,197,38,52,38,3.881,False,p1,9239.0
86,fluid-muskrat,set5,2,200,7,0,200,5.616,False,p1,9239.0
89,fluid-muskrat,set5,5,170,35,230,230,4.268,False,p1,9239.0
96,fluid-muskrat,set5,12,231,1,180,180,2.682,False,p1,9239.0
98,fluid-muskrat,set5,14,144,59,128,59,2.565,False,p1,9239.0
99,fluid-muskrat,set5,15,178,76,40,40,2.683,False,p1,9239.0
100,fluid-muskrat,set5,16,182,160,95,182,4.398,False,p1,9239.0
102,fluid-muskrat,set5,18,178,67,194,178,58.448,False,p1,9239.0
103,fluid-muskrat,set5,19,39,0,203,203,2.664,False,p1,9239.0
106,fluid-muskrat,set6,1,9,195,124,124,2.465,False,p1,9239.0
107,fluid-muskrat,set6,2,143,173,171,171,4.283,False,p1,9239.0
110,fluid-muskrat,set6,5,214,210,113,210,2.783,False,p1,9239.0
111,fluid-muskrat,set6,6,110,22,13,13,2.616,False,p1,9239.0
113,fluid-muskrat,set6,8,11,177,225,225,4.732,False,p1,9239.0
114,fluid-muskrat,set6,9,202,81,159,202,2.783,False,p1,9239.0
116,fluid-muskrat,set6,11,155,115,0,0,5.482,False,p1,9239.0
120,fluid-muskrat,set6,15,111,34,10,111,4.581,False,p1,9239.0
122,fluid-muskrat,set6,17,203,129,230,230,2.951,False,p1,9239.0
127,fluid-muskrat,set7,1,106,212,67,106,3.332,False,p1,9239.0
128,fluid-muskrat,set7,2,245,94,133,245,3.114,False,p1,9239.0
131,fluid-muskrat,set7,5,144,182,232,232,4.881,False,p1,9239.0
132,fluid-muskrat,set7,6,157,212,169,157,2.999,False,p1,9239.0
134,fluid-muskrat,set7,8,122,225,191,122,4.217,False,p1,9239.0
136,fluid-muskrat,set7,10,200,85,63,63,3.831,False,p1,9239.0
137,fluid-muskrat,set7,11,12,200,36,200,5.031,False,p1,9239.0
139,fluid-muskrat,set7,13,122,133,222,122,3.116,False,p1,9239.0
140,fluid-muskrat,set7,14,154,79,175,175,2.632,False,p1,9239.0
141,fluid-muskrat,set7,15,140,35,113,113,3.415,False,p1,9239.0
142,fluid-muskrat,set7,16,7,224,166,166,2.667,False,p1,9239.0
146,fluid-muskrat,set7,20,73,85,82,85,7.632,False,p1,9239.0
148,fluid-muskrat,set8,1,5,15,121,15,2.432,False,p1,9239.0
149,fluid-muskrat,set8,2,5,118,202,202,3.815,False,p1,9239.0
150,fluid-muskrat,set8,3,66,165,122,122,2.966,False,p1,9239.0
151,fluid-muskrat,set8,4,140,69,169,69,5.549,False,p1,9239.0
154,fluid-muskrat,set8,7,4,249,155,4,4.681,False,p1,9239.0
156,fluid-muskrat,set8,9,32,11,99,99,2.416,False,p1,9239.0
159,fluid-muskrat,set8,12,30,4,74,4,4.849,False,p1,9239.0
161,fluid-muskrat,set8,14,181,121,76,121,4.031,False,p1,9239.0
163,fluid-muskrat,set8,16,33,128,143,128,7.182,False,p1,9239.0
164,fluid-muskrat,set8,17,110,179,200,200,5.948,False,p1,9239.0
165,fluid-muskrat,set8,18,143,226,97,143,2.998,False,p1,9239.0
169,fluid-muskrat,set9,1,103,63,231,63,653.767,False,p1,9239.0
172,fluid-muskrat,set9,4,141,86,149,86,7.416,False,p1,9239.0
175,fluid-muskrat,set9,7,31,38,34,38,77.147,False,p1,9239.0
176,fluid-muskrat,set9,8,239,14,103,14,166.778,False,p1,9239.0
178,fluid-muskrat,set9,10,178,22,45,178,4.664,False,p1,9239.0
179,fluid-muskrat,set9,11,99,222,203,99,168.11,False,p1,9239.0
180,fluid-muskrat,set9,12,164,80,174,164,6.301,False,p1,9239.0
183,fluid-muskrat,set9,15,109,12,213,12,3.082,False,p1,9239.0
185,fluid-muskrat,set9,17,137,82,239,239,2.516,False,p1,9239.0
186,fluid-muskrat,set9,18,118,149,97,97,2.482,False,p1,9239.0
187,fluid-muskrat,set9,19,226,125,14,14,6.7,False,p1,9239.0
188,fluid-muskrat,set9,20,110,188,143,110,2.598,False,p1,9239.0
191,fluid-muskrat,set10,2,169,74,38,74,5.349,False,p1,9239.0
193,fluid-muskrat,set10,4,182,245,105,182,7.533,False,p1,9239.0
194,fluid-muskrat,set10,5,177,129,169,169,3.915,False,p1,9239.0
196,fluid-muskrat,set10,7,30,39,154,30,7.832,False,p1,9239.0
197,fluid-muskrat,set10,8,159,77,171,77,3.982,False,p1,9239.0
198,fluid-muskrat,set10,9,5,217,126,5,9.198,False,p1,9239.0
200,fluid-muskrat,set10,11,245,162,132,162,6.566,False,p1,9239.0
204,fluid-muskrat,set10,15,50,228,32,50,6.182,False,p1,9239.0
205,fluid-muskrat,set10,16,79,221,149,221,3.833,False,p1,9239.0
206,fluid-muskrat,set10,17,195,188,166,166,5.915,False,p1,9239.0
208,fluid-muskrat,set10,19,136,124,162,162,4.215,False,p1,9239.0
209,fluid-muskrat,set10,20,19,223,62,223,3.916,False,p1,9239.0
211,fluid-muskrat,set11,1,246,40,85,40,7.565,False,p1,9239.0
212,fluid-muskrat,set11,2,22,147,18,147,5.032,False,p1,9239.0
213,fluid-muskrat,set11,3,49,58,194,49,8.63,False,p1,9239.0
214,fluid-muskrat,set11,4,95,236,172,236,10.665,False,p1,9239.0
215,fluid-muskrat,set11,5,241,14,32,32,4.049,False,p1,9239.0
219,fluid-muskrat,set11,9,208,188,137,208,6.498,False,p1,9239.0
222,fluid-muskrat,set11,12,23,242,202,23,3.916,False,p1,9239.0
223,fluid-muskrat,set11,13,95,248,191,191,10.383,False,p1,9239.0
224,fluid-muskrat,set11,14,188,105,81,81,4.065,False,p1,9239.0
225,fluid-muskrat,set11,15,179,188,19,179,6.05,False,p1,9239.0
226,fluid-muskrat,set11,16,235,112,133,112,5.033,False,p1,9239.0
462,suited-tiger,set1,0,103,188,95,188,4.002,False,p4,8826.0
463,suited-tiger,set1,1,120,202,36,120,3.186,False,p4,8826.0
465,suited-tiger,set1,3,34,19,171,19,4.726,False,p4,8826.0
466,suited-tiger,set1,4,79,10,76,76,10.257,False,p4,8826.0
468,suited-tiger,set1,6,36,165,197,165,4.144,False,p4,8826.0
474,suited-tiger,set1,12,179,11,246,179,3.273,False,p4,8826.0
475,suited-tiger,set1,13,112,140,44,112,3.603,False,p4,8826.0
476,suited-tiger,set1,14,221,115,45,221,4.998,False,p4,8826.0
480,suited-tiger,set1,18,247,214,181,181,26.761,False,p4,8826.0
483,suited-tiger,set2,0,235,1,239,239,3.849,False,p4,8826.0
486,suited-tiger,set2,3,128,227,40,40,15.961,False,p4,8826.0
487,suited-tiger,set2,4,108,221,34,221,3.328,False,p4,8826.0
489,suited-tiger,set2,6,240,160,72,160,3.262,False,p4,8826.0
494,suited-tiger,set2,11,128,105,219,219,3.875,False,p4,8826.0
496,suited-tiger,set2,13,92,47,173,92,2.749,False,p4,8826.0
497,suited-tiger,set2,14,99,228,15,228,2.977,False,p4,8826.0
498,suited-tiger,set2,15,121,195,128,121,3.637,False,p4,8826.0
501,suited-tiger,set2,18,242,8,213,242,3.434,False,p4,8826.0
502,suited-tiger,set2,19,213,189,180,213,4.02,False,p4,8826.0
503,suited-tiger,set2,20,118,121,86,121,7.518,False,p4,8826.0
504,suited-tiger,set3,0,12,154,111,12,7.08,False,p4,8826.0
508,suited-tiger,set3,4,154,13,224,13,4.983,False,p4,8826.0
509,suited-tiger,set3,5,72,224,19,72,2.863,False,p4,8826.0
511,suited-tiger,set3,7,165,175,95,175,2.593,False,p4,8826.0
519,suited-tiger,set3,15,0,179,238,179,4.297,False,p4,8826.0
524,suited-tiger,set3,20,54,133,244,133,4.468,False,p4,8826.0
525,suited-tiger,set4,0,14,223,126,223,3.281,False,p4,8826.0
526,suited-tiger,set4,1,121,206,104,206,3.007,False,p4,8826.0
528,suited-tiger,set4,3,43,171,87,43,2.907,False,p4,8826.0
530,suited-tiger,set4,5,160,124,62,124,2.537,False,p4,8826.0
531,suited-tiger,set4,6,9,94,80,9,3.77,False,p4,8826.0
534,suited-tiger,set4,9,24,35,67,24,3.026,False,p4,8826.0
535,suited-tiger,set4,10,105,139,206,206,3.059,False,p4,8826.0
536,suited-tiger,set4,11,226,189,49,226,52.687,False,p4,8826.0
537,suited-tiger,set4,12,146,243,80,146,3.202,False,p4,8826.0
539,suited-tiger,set4,14,80,172,10,80,3.94,False,p4,8826.0
541,suited-tiger,set4,16,177,155,108,155,3.615,False,p4,8826.0
542,suited-tiger,set4,17,188,191,162,191,9.393,False,p4,8826.0
544,suited-tiger,set4,19,104,96,69,96,2.952,False,p4,8826.0
546,suited-tiger,set5,0,16,243,69,16,3.974,False,p4,8826.0
547,suited-tiger,set5,1,12,86,8,86,90.109,False,p4,8826.0
551,suited-tiger,set5,5,40,181,92,181,2.742,False,p4,8826.0
552,suited-tiger,set5,6,179,160,164,179,2.951,False,p4,8826.0
556,suited-tiger,set5,10,140,85,243,85,4.225,False,p4,8826.0
557,suited-tiger,set5,11,170,52,232,170,5.283,False,p4,8826.0
560,suited-tiger,set5,14,218,238,11,238,3.694,False,p4,8826.0
563,suited-tiger,set5,17,39,79,200,200,4.198,False,p4,8826.0
564,suited-tiger,set5,18,36,177,112,112,6.205,False,p4,8826.0
565,suited-tiger,set5,19,71,119,241,241,5.234,False,p4,8826.0
568,suited-tiger,set6,1,5,96,214,5,2.727,False,p4,8826.0
571,suited-tiger,set6,4,69,23,154,69,6.548,False,p4,8826.0
573,suited-tiger,set6,6,247,82,47,247,4.347,False,p4,8826.0
574,suited-tiger,set6,7,109,32,111,109,4.781,False,p4,8826.0
578,suited-tiger,set6,11,58,214,133,214,3.227,False,p4,8826.0
583,suited-tiger,set6,16,111,237,85,85,3.133,False,p4,8826.0
584,suited-tiger,set6,17,111,237,85,85,3.622,False,p4,8826.0
587,suited-tiger,set6,20,147,197,136,197,4.378,False,p4,8826.0
588,suited-tiger,set7,0,223,18,155,18,4.028,False,p4,8826.0
589,suited-tiger,set7,1,71,200,144,200,9.921,False,p4,8826.0
591,suited-tiger,set7,3,150,156,27,27,5.748,False,p4,8826.0
593,suited-tiger,set7,5,196,136,86,136,3.302,False,p4,8826.0
594,suited-tiger,set7,6,24,2,179,24,3.327,False,p4,8826.0
595,suited-tiger,set7,7,95,44,211,211,3.878,False,p4,8826.0
596,suited-tiger,set7,8,213,245,172,213,3.718,False,p4,8826.0
598,suited-tiger,set7,10,238,169,196,169,4.216,False,p4,8826.0
603,suited-tiger,set7,15,2,128,106,128,2.876,False,p4,8826.0
606,suited-tiger,set7,18,32,22,146,146,3.173,False,p4,8826.0
607,suited-tiger,set7,19,32,172,240,32,3.419,False,p4,8826.0
608,suited-tiger,set7,20,45,191,186,191,3.69,False,p4,8826.0
609,suited-tiger,set8,0,73,31,190,190,16.754,False,p4,8826.0
613,suited-tiger,set8,4,116,81,149,116,27.292,False,p4,8826.0
618,suited-tiger,set8,9,50,156,235,156,3.155,False,p4,8826.0
621,suited-tiger,set8,12,210,44,94,94,3.969,False,p4,8826.0
622,suited-tiger,set8,13,249,240,63,240,11.156,False,p4,8826.0
625,suited-tiger,set8,16,172,144,54,144,5.79,False,p4,8826.0
627,suited-tiger,set8,18,144,23,110,110,2.837,False,p4,8826.0
629,suited-tiger,set8,20,243,13,226,13,2.559,False,p4,8826.0
634,suited-tiger,set9,4,54,214,223,54,5.375,False,p4,8826.0
635,suited-tiger,set9,5,1,80,213,1,6.639,False,p4,8826.0
637,suited-tiger,set9,7,123,170,115,123,3.18,False,p4,8826.0
641,suited-tiger,set9,11,2,213,200,2,3.982,False,p4,8826.0
645,suited-tiger,set9,15,15,183,1,15,3.124,False,p4,8826.0
647,suited-tiger,set9,17,118,242,173,242,3.042,False,p4,8826.0
649,suited-tiger,set9,19,164,18,170,18,12.323,False,p4,8826.0
650,suited-tiger,set9,20,16,78,206,78,3.056,False,p4,8826.0
651,suited-tiger,set10,0,238,111,203,238,4.713,False,p4,8826.0
653,suited-tiger,set10,2,165,40,223,40,2.994,False,p4,8826.0
654,suited-tiger,set10,3,206,213,202,213,12.913,False,p4,8826.0
655,suited-tiger,set10,4,0,100,221,0,3.304,False,p4,8826.0
658,suited-tiger,set10,7,232,228,49,232,2.774,False,p4,8826.0
660,suited-tiger,set10,9,113,71,147,147,3.099,False,p4,8826.0
662,suited-tiger,set10,11,115,245,195,115,2.571,False,p4,8826.0
663,suited-tiger,set10,12,109,214,29,29,3.197,False,p4,8826.0
664,suited-tiger,set10,13,249,31,51,31,3.237,False,p4,8826.0
665,suited-tiger,set10,14,109,230,188,109,3.189,False,p4,8826.0
666,suited-tiger,set10,15,24,115,230,230,4.437,False,p4,8826.0
667,suited-tiger,set10,16,70,240,14,70,2.749,False,p4,8826.0
670,suited-tiger,set10,19,64,102,80,80,2.773,False,p4,8826.0
674,suited-tiger,set11,2,92,7,205,92,5.749,False,p4,8826.0
675,suited-tiger,set11,3,206,9,103,9,8.516,False,p4,8826.0
676,suited-tiger,set11,4,76,47,112,76,2.749,False,p4,8826.0
679,suited-tiger,set11,7,108,166,120,120,6.115,False,p4,8826.0
680,suited-tiger,set11,8,124,119,36,124,2.935,False,p4,8826.0
681,suited-tiger,set11,9,34,72,95,34,3.393,False,p4,8826.0
682,suited-tiger,set11,10,65,191,211,211,3.361,False,p4,8826.0
689,suited-tiger,set11,17,63,142,19,142,4.953,False,p4,8826.0
691,suited-tiger,set11,19,96,216,158,158,3.141,False,p4,8826.0
692,suited-tiger,set11,20,79,81,162,81,2.399,False,p4,8826.0
696,tough-lemur,set1,3,206,54,34,206,3.37,False,p5,9968.0
698,tough-lemur,set1,5,111,81,1,1,8.569,False,p5,9968.0
699,tough-lemur,set1,6,242,152,124,124,8.516,False,p5,9968.0
700,tough-lemur,set1,7,154,77,213,77,7.773,False,p5,9968.0
701,tough-lemur,set1,8,177,222,227,177,7.807,False,p5,9968.0
702,tough-lemur,set1,9,243,195,108,195,11.818,False,p5,9968.0
704,tough-lemur,set1,11,150,95,77,150,3.484,False,p5,9968.0
707,tough-lemur,set1,14,57,179,7,179,6.996,False,p5,9968.0
708,tough-lemur,set1,15,16,59,19,59,4.324,False,p5,9968.0
710,tough-lemur,set1,17,121,220,155,121,2.993,False,p5,9968.0
718,tough-lemur,set2,4,200,196,226,200,8.876,False,p5,9968.0
722,tough-lemur,set2,8,190,103,115,103,5.225,False,p5,9968.0
724,tough-lemur,set2,10,11,85,126,85,6.599,False,p5,9968.0
725,tough-lemur,set2,11,11,223,69,11,5.454,False,p5,9968.0
726,tough-lemur,set2,12,7,100,80,7,11.299,False,p5,9968.0
728,tough-lemur,set2,14,0,189,103,103,5.401,False,p5,9968.0
732,tough-lemur,set2,18,242,33,147,147,4.823,False,p5,9968.0
733,tough-lemur,set2,19,247,70,58,70,3.665,False,p5,9968.0
736,tough-lemur,set3,1,171,70,212,70,3.947,False,p5,9968.0
741,tough-lemur,set3,6,24,70,104,70,4.214,False,p5,9968.0
743,tough-lemur,set3,8,210,236,13,13,33.517,False,p5,9968.0
745,tough-lemur,set3,10,165,102,5,165,3.99,False,p5,9968.0
746,tough-lemur,set3,11,240,41,30,41,38.597,False,p5,9968.0
749,tough-lemur,set3,14,203,11,195,11,3.837,False,p5,9968.0
752,tough-lemur,set3,17,139,190,1,139,4.079,False,p5,9968.0
754,tough-lemur,set3,19,116,249,187,116,4.208,False,p5,9968.0
756,tough-lemur,set4,0,7,215,23,7,2.788,False,p5,9968.0
759,tough-lemur,set4,3,41,8,64,8,3.732,False,p5,9968.0
763,tough-lemur,set4,7,95,246,149,95,21.644,False,p5,9968.0
765,tough-lemur,set4,9,96,102,242,102,3.066,False,p5,9968.0
769,tough-lemur,set4,13,34,100,158,34,7.456,False,p5,9968.0
770,tough-lemur,set4,14,73,149,135,135,3.359,False,p5,9968.0
771,tough-lemur,set4,15,197,191,70,70,3.458,False,p5,9968.0
772,tough-lemur,set4,16,187,213,143,143,7.496,False,p5,9968.0
773,tough-lemur,set4,17,132,170,94,132,3.734,False,p5,9968.0
775,tough-lemur,set4,19,24,197,112,112,11.509,False,p5,9968.0
777,tough-lemur,set5,0,120,238,182,120,3.092,False,p5,9968.0
778,tough-lemur,set5,1,110,100,244,244,5.836,False,p5,9968.0
784,tough-lemur,set5,7,118,14,24,118,4.301,False,p5,9968.0
785,tough-lemur,set5,8,239,226,30,30,6.421,False,p5,9968.0
791,tough-lemur,set5,14,159,59,99,159,3.911,False,p5,9968.0
792,tough-lemur,set5,15,96,208,62,208,11.047,False,p5,9968.0
793,tough-lemur,set5,16,19,143,238,238,3.64,False,p5,9968.0
796,tough-lemur,set5,19,91,165,183,183,4.255,False,p5,9968.0
798,tough-lemur,set6,0,235,221,78,221,12.188,False,p5,9968.0
801,tough-lemur,set6,3,105,87,68,68,3.1,False,p5,9968.0
806,tough-lemur,set6,8,24,234,12,234,3.596,False,p5,9968.0
807,tough-lemur,set6,9,203,18,86,86,2.81,False,p5,9968.0
810,tough-lemur,set6,12,152,235,186,186,5.684,False,p5,9968.0
812,tough-lemur,set6,14,18,19,66,66,3.507,False,p5,9968.0
813,tough-lemur,set6,15,11,27,214,11,2.587,False,p5,9968.0
815,tough-lemur,set6,17,139,119,59,59,2.981,False,p5,9968.0
816,tough-lemur,set6,18,217,115,52,115,3.54,False,p5,9968.0
819,tough-lemur,set7,0,72,244,120,244,3.055,False,p5,9968.0
823,tough-lemur,set7,4,78,85,41,41,5.729,False,p5,9968.0
827,tough-lemur,set7,8,9,204,115,9,3.662,False,p5,9968.0
831,tough-lemur,set7,12,214,141,63,141,3.509,False,p5,9968.0
834,tough-lemur,set7,15,7,35,131,35,4.748,False,p5,9968.0
835,tough-lemur,set7,16,64,118,172,64,5.154,False,p5,9968.0
836,tough-lemur,set7,17,150,45,203,150,3.002,False,p5,9968.0
841,tough-lemur,set8,1,124,149,72,124,3.831,False,p5,9968.0
842,tough-lemur,set8,2,140,160,20,20,4.188,False,p5,9968.0
843,tough-lemur,set8,3,10,136,15,10,3.075,False,p5,9968.0
847,tough-lemur,set8,7,215,34,49,49,4.875,False,p5,9968.0
848,tough-lemur,set8,8,216,67,92,216,4.63,False,p5,9968.0
849,tough-lemur,set8,9,243,118,47,243,3.042,False,p5,9968.0
850,tough-lemur,set8,10,116,244,194,244,4.35,False,p5,9968.0
854,tough-lemur,set8,14,182,66,235,182,9.748,False,p5,9968.0
855,tough-lemur,set8,15,203,220,197,203,2.671,False,p5,9968.0
859,tough-lemur,set8,19,12,194,140,194,3.455,False,p5,9968.0
861,tough-lemur,set9,0,162,197,239,162,4.023,False,p5,9968.0
864,tough-lemur,set9,3,32,182,94,182,3.083,False,p5,9968.0
865,tough-lemur,set9,4,183,72,162,162,3.921,False,p5,9968.0
866,tough-lemur,set9,5,196,141,119,141,5.038,False,p5,9968.0
869,tough-lemur,set9,8,94,59,22,59,5.936,False,p5,9968.0
872,tough-lemur,set9,11,33,15,123,15,3.547,False,p5,9968.0
875,tough-lemur,set9,14,211,115,51,115,4.766,False,p5,9968.0
876,tough-lemur,set9,15,133,238,15,238,5.651,False,p5,9968.0
878,tough-lemur,set9,17,178,183,235,235,4.455,False,p5,9968.0
879,tough-lemur,set9,18,240,27,170,27,3.175,False,p5,9968.0
881,tough-lemur,set9,20,129,162,109,109,2.779,False,p5,9968.0
883,tough-lemur,set10,1,207,74,173,74,2.986,False,p5,9968.0
885,tough-lemur,set10,3,12,115,215,115,4.295,False,p5,9968.0
886,tough-lemur,set10,4,237,49,24,24,3.966,False,p5,9968.0
888,tough-lemur,set10,6,67,1,87,1,3.823,False,p5,9968.0
889,tough-lemur,set10,7,249,162,99,99,3.636,False,p5,9968.0
890,tough-lemur,set10,8,235,32,230,235,3.501,False,p5,9968.0
891,tough-lemur,set10,9,43,10,238,10,7.588,False,p5,9968.0
892,tough-lemur,set10,10,181,39,47,181,5.071,False,p5,9968.0
894,tough-lemur,set10,12,82,33,243,243,3.389,False,p5,9968.0
899,tough-lemur,set10,17,4,197,58,58,5.18,False,p5,9968.0
905,tough-lemur,set11,2,58,203,12,12,5.261,False,p5,9968.0
906,tough-lemur,set11,3,126,194,109,126,4.526,False,p5,9968.0
907,tough-lemur,set11,4,12,128,44,12,4.52,False,p5,9968.0
910,tough-lemur,set11,7,169,228,212,212,14.245,False,p5,9968.0
911,tough-lemur,set11,8,231,194,206,194,10.244,False,p5,9968.0
913,tough-lemur,set11,10,13,57,220,57,3.738,False,p5,9968.0
914,tough-lemur,set11,11,215,205,96,96,2.65,False,p5,9968.0
918,tough-lemur,set11,15,173,58,159,58,3.735,False,p5,9968.0
919,tough-lemur,set11,16,63,244,208,208,3.58,False,p5,9968.0
920,tough-lemur,set11,17,10,38,164,38,4.654,False,p5,9968.0
922,tough-lemur,set11,19,8,236,97,236,2.874,False,p5,9968.0
923,tough-lemur,set11,20,224,136,78,224,3.717,False,p5,9968.0
924,low-tick,set1,0,234,78,133,234,7.902,False,p6,8607.0
932,low-tick,set1,8,212,5,210,210,5.966,False,p6,8607.0
934,low-tick,set1,10,135,49,147,135,17.046,False,p6,8607.0
936,low-tick,set1,12,170,33,91,170,2.614,False,p6,8607.0
940,low-tick,set1,16,33,182,2,182,4.079,False,p6,8607.0
941,low-tick,set1,17,179,96,226,96,8.112,False,p6,8607.0
942,low-tick,set1,18,87,70,140,87,6.416,False,p6,8607.0
947,low-tick,set2,2,124,100,164,164,9.679,False,p6,8607.0
948,low-tick,set2,3,212,190,242,190,8.246,False,p6,8607.0
949,low-tick,set2,4,78,247,64,247,4.75,False,p6,8607.0
950,low-tick,set2,5,150,160,236,160,3.102,False,p6,8607.0
951,low-tick,set2,6,137,219,241,137,6.991,False,p6,8607.0
952,low-tick,set2,7,219,113,232,113,4.731,False,p6,8607.0
954,low-tick,set2,9,144,170,47,47,7.944,False,p6,8607.0
955,low-tick,set2,10,78,77,147,78,6.946,False,p6,8607.0
956,low-tick,set2,11,35,45,135,45,23.21,False,p6,8607.0
960,low-tick,set2,15,150,94,249,249,7.179,False,p6,8607.0
963,low-tick,set2,18,228,146,62,146,2.366,False,p6,8607.0
964,low-tick,set2,19,5,22,40,5,5.214,False,p6,8607.0
966,low-tick,set3,0,234,69,52,69,7.57,False,p6,8607.0
967,low-tick,set3,1,118,71,68,68,3.464,False,p6,8607.0
968,low-tick,set3,2,123,211,77,123,6.262,False,p6,8607.0
969,low-tick,set3,3,124,181,14,181,3.496,False,p6,8607.0
970,low-tick,set3,4,191,80,217,80,2.45,False,p6,8607.0
974,low-tick,set3,8,74,155,118,155,5.451,False,p6,8607.0
977,low-tick,set3,11,204,162,210,210,10.229,False,p6,8607.0
978,low-tick,set3,12,200,136,171,171,2.763,False,p6,8607.0
980,low-tick,set3,14,213,230,221,230,8.728,False,p6,8607.0
982,low-tick,set3,16,175,22,140,175,4.86,False,p6,8607.0
983,low-tick,set3,17,231,125,160,160,4.987,False,p6,8607.0
984,low-tick,set3,18,248,178,16,178,10.891,False,p6,8607.0
985,low-tick,set3,19,147,100,8,8,6.609,False,p6,8607.0
986,low-tick,set3,20,219,102,164,164,4.162,False,p6,8607.0
987,low-tick,set4,0,210,106,18,210,2.986,False,p6,8607.0
988,low-tick,set4,1,141,19,112,141,4.477,False,p6,8607.0
991,low-tick,set4,4,139,237,204,139,3.875,False,p6,8607.0
993,low-tick,set4,6,194,130,182,194,5.546,False,p6,8607.0
997,low-tick,set4,10,58,52,43,43,3.975,False,p6,8607.0
1003,low-tick,set4,16,243,22,110,243,10.827,False,p6,8607.0
1004,low-tick,set4,17,196,144,240,196,5.347,False,p6,8607.0
1005,low-tick,set4,18,240,243,109,243,2.402,False,p6,8607.0
1006,low-tick,set4,19,146,140,79,146,3.049,False,p6,8607.0
1007,low-tick,set4,20,130,20,118,118,3.699,False,p6,8607.0
1008,low-tick,set5,0,147,115,57,57,185.779,False,p6,8607.0
1009,low-tick,set5,1,51,7,221,221,4.909,False,p6,8607.0
1010,low-tick,set5,2,146,232,47,146,4.313,False,p6,8607.0
1011,low-tick,set5,3,130,81,106,130,5.717,False,p6,8607.0
1012,low-tick,set5,4,188,54,115,115,3.792,False,p6,8607.0
